Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.650517797	12626.84473	0.002988	29872.62695	0.063831966
0.650529383	12628.74414	-0.000476624	29872.62695	0.063854078
0.650540958	12633.20313	-0.002042817	29872.62695	0.063880832
0.650552545	12649.51563	-0.002462074	29872.62695	0.063957543
0.650564113	12623.51367	-0.004087956	29830.83984	0.063817
0.650575674	12625.68652	-0.004551967	29830.83984	0.063951438
0.650587231	12630.94434	-0.007179776	29830.83984	0.063949618
0.650598813	12618.93359	-0.009209526	29830.83984	0.06395273
0.650610393	12639.78809	-0.021338986	29830.83984	0.063966565
0.650621973	12633.06934	-0.020400936	29772.16797	0.064068532
0.650633539	12642.28027	-0.027256923	29772.16797	0.064116021
0.650645119	12645.4502	-0.038712598	29772.16797	0.064075711
0.650656695	12622.11035	-0.043747939	29772.16797	0.064082125
0.650668278	12627.14258	-0.050625157	29772.16797	0.06408165
0.65067985	12631.3291	-0.061414875	29741.94727	0.064176384
0.650691423	12619.11719	-0.068292573	29741.94727	0.064104759
0.650703005	12593.8916	-0.072604202	29741.94727	0.064062121
0.650714555	12621.22754	-0.079901941	29741.94727	0.064088063
0.650726143	12633.62305	-0.086443983	29741.94727	0.064179912
0.650737729	12593.27637	-0.092746355	29691.14844	0.064210402
0.650749283	12623.05859	-0.093829125	29691.14844	0.064180766
0.650760858	12619.88281	-0.103498399	29691.14844	0.064239897
0.650772446	12605.14844	-0.105053678	29691.14844	0.064197292
0.650783998	12633.91504	-0.111384794	29691.14844	0.06427563
0.650795572	12601.21973	-0.111882553	29612.28125	0.06433225
0.650807173	12645.63477	-0.114926457	29612.28125	0.064452477
0.650818724	12612.17188	-0.116566129	29612.28125	0.064365422
0.650830297	12623.72168	-0.121215694	29612.28125	0.064419632
0.650841885	12640.74609	-0.1200509	29612.28125	0.064399223
0.650853456	12589.46094	-0.120276779	29565.14258	0.064374469
0.650865043	12627.2207	-0.121415436	29565.14258	0.064531675
0.650876597	12641.80469	-0.126599953	29565.14258	0.064505084
0.650888176	12617.2998	-0.140307188	29565.14258	0.064475551
0.650899756	12613.88867	-0.121558771	29565.14258	0.064469819
0.650911343	12623.78516	-0.125717059	29513.3457	0.064511845
0.6509229	12608.20215	-0.126593873	29513.3457	0.064536099
0.650934469	12601.1543	-0.128526643	29513.3457	0.064575067
0.650946054	12593.35059	-0.12930648	29513.3457	0.064509871
0.650957642	12595.91895	-0.128835231	29513.3457	0.064524583
0.650969191	12599.69141	-0.129361808	29463.41211	0.064647511
0.650980784	12618.08887	-0.12972784	29463.41211	0.064684295
0.650992348	12611.65527	-0.130350187	29463.41211	0.064692138
0.651003923	12611.09082	-0.130982354	29463.41211	0.064669314
0.651015488	12624.23047	-0.133232713	29463.41211	0.064716397
0.651027078	12603.99023	-0.132866591	29360.14258	0.064886065
0.651038629	12608.59766	-0.132971361	29360.14258	0.064849657
0.651050246	12651.37598	-0.133810222	29360.14258	0.065059153
0.651061778	12628.00391	-0.133546278	29360.14258	0.064892836
0.651073356	12600.54297	-0.135168403	29360.14258	0.0649058
0.651084929	12597.23438	-0.133075953	29309.7793	0.064958834
0.651096497	12605.07813	-0.135068461	29309.7793	0.064906488
0.651108097	12592.53809	-0.134538874	29309.7793	0.064946848
0.651119645	12583.70605	-0.135595232	29309.7793	0.064923852
0.651131233	12617.125	-0.13521488	29309.7793	0.065008823
0.651142827	12562.20996	-0.136106536	29265.49805	0.064956499
0.65115438	12626.03125	-0.136739552	29265.49805	0.065121545
0.651165964	12620.59082	-0.131186888	29265.49805	0.039032505
0.651177543	12576.36914	-0.135960251	29265.49805	0.038989646
0.651189095	12645.63184	-0.137724727	29265.49805	0.039087575
0.651200695	12995.14063	-0.136673644	29140.36328	0.039880966
0.651212245	13274.20898	-0.138297394	29140.36328	0.040117742
0.651223835	13431.54395	-0.137749091	29140.36328	0.040081035
0.651235405	14074.63672	-0.13793166	29140.36328	0.040969405
0.651246961	14593.51758	-0.138719335	29140.36328	0.041821039
0.651258532	15127.78027	-0.14290759	29094.29883	0.042108994
0.651270124	14443.33691	-0.15663287	29094.29883	0.041311929
0.651281723	13925.11719	-0.137528762	29094.29883	0.0406829
0.651293277	14256.5752	-0.131246239	29094.29883	0.041415776
0.651304851	15142.73633	-0.138261452	29094.29883	0.042899026
0.651316407	15457.13184	-0.13663502	28986.78711	0.043250852
0.651327987	15566.73828	-0.135222495	28986.78711	0.043047361
0.651339566	15928.15039	-0.132342696	28986.78711	0.043800625
0.651351153	16340.19824	-0.129349932	28986.78711	0.044709903
0.651362712	16860.30859	-0.126184613	28986.78711	0.045614662
0.651374287	17402.0625	-0.123551637	28884.84961	0.046634961
0.651385865	17152.0625	-0.120553829	28884.84961	0.045809592
0.65139743	16492.83594	-0.109583609	28884.84961	0.044600977
0.651409	16385.90625	-0.095338479	28884.84961	0.045277302
0.65142058	17186.35938	-0.067246296	28884.84961	0.046400058
0.651432171	16967.44336	-0.038874723	28804.27539	0.045673327
0.65144375	16552.12109	-0.013802968	28804.27539	0.045035149
0.651455302	16024.88086	-0.003823449	28804.27539	0.044174267
0.651466897	15941.16406	0.002774326	28804.27539	0.044284882
0.651478451	15957.25879	0.045859419	28804.27539	0.044205633
0.651490049	15948.42188	0.115935721	28715.60156	0.044285401
0.651501593	15946.69629	0.17492424	28715.60156	0.044309174
0.651513175	15956.99121	0.240065277	28715.60156	0.044412728
0.651524771	15942.67871	0.261635155	28715.60156	0.044399231
0.651536322	16014.31641	0.274883121	28715.60156	0.044477799
0.651547918	15947.1543	0.301842868	28760.35156	0.044311783
0.651559473	16012.33887	0.329128206	28760.35156	0.044330844
0.651571065	15977.00781	0.349713475	28760.35156	0.04433504
0.651582617	15970.24512	0.360331953	28760.35156	0.044268787
0.651594205	15996.5498	0.366215318	28760.35156	0.044354055
0.651605791	15973.35547	0.371355176	28803.83008	0.044335752
0.651617343	15968.84961	0.375037074	28803.83008	0.044237683
0.65162894	15987.8125	0.378132314	28803.83008	0.044242623
0.651640498	16000.62012	0.376247585	28803.83008	0.044260764
0.651652064	15976.95313	0.371706754	28803.83008	0.044188385
0.651663638	15981.46973	0.375048101	28856.12109	0.044137459
0.651675208	15946.97266	0.346596658	28856.12109	0.044060767
0.651686798	16009.05078	0.36418581	28856.12109	0.044197156
0.651698357	15977.6416	0.364792466	28856.12109	0.044191435
0.65170994	15974.20605	0.36212346	28856.12109	0.044146925
0.651721531	16002.78027	0.348822445	28888.08398	0.044199711
0.651733117	15995.64941	0.341574878	28888.08398	0.044090086
aerate off				
0.651744662	16046.15234	0.336447001	28888.08398	0.044168137
