Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air slope ()	air valve control ()
0.620137025	2661.51416	9.367444992	36337.32031	9397899.552	0.020893736
0.620148584	2408.715332	9.421170235	36337.32031	9397899.552	0.020749805
0.620160159	2716.967041	9.41959095	36328.75781	9397899.552	0.020831211
0.620171732	2648.64209	9.421916008	36328.75781	9397899.552	0.020911046
0.620183327	2529.289551	9.424245834	36328.75781	9397899.552	0.020779903
0.620194883	2703.513428	9.421608925	36328.75781	9397899.552	0.020835345
0.620206471	2480.508301	9.422120094	36328.75781	9397899.552	0.020810589
0.620218043	2512.901123	9.428421021	36403.60547	9397899.552	0.020747742
0.620229614	2662.658691	9.431934357	36403.60547	9397899.552	0.020845628
0.620241179	2492.15332	9.425182343	36403.60547	9397899.552	0.020770757
0.620252763	2653.770508	9.422671318	36403.60547	9397899.552	0.020776359
0.620264291	2629.698975	9.408270836	36403.60547	9397899.552	0.02088259
0.620275909	2461.340332	9.410935402	36427.82813	9397899.552	0.020734552
0.62028748	2725.714111	9.405455589	36427.82813	9397899.552	0.020788173
0.620299066	2579.010986	9.40566349	36427.82813	9397899.552	0.020826785
0.620310625	2506.547852	9.425602913	36427.82813	9397899.552	0.020748271
0.620322225	2698.850098	9.403456688	36427.82813	9397899.552	0.02080673
0.620333772	2571.93042	9.406633377	36512.57422	9397899.552	0.020797848
0.620345348	2858.513916	9.343111992	36512.57422	9397899.552	0.020776869
0.620356936	2659.894775	9.267969132	36512.57422	9397899.552	0.020820844
0.62036849	2460.405762	9.449373245	36512.57422	9397899.552	0.020697955
0.620380073	2627.135254	9.440450668	36512.57422	9397899.552	0.020725941
0.620391657	2615.589111	9.39785099	36525.44922	9397899.552	0.020821809
0.620403225	2404.862061	9.421647072	36525.44922	9397899.552	0.020685451
0.620414804	3004.610352	9.403429031	36525.44922	9397899.552	0.020794102
0.620426365	2625.113525	9.426595688	36525.44922	9397899.552	0.020812966
0.620437915	2504.805908	9.410861969	36525.44922	9397899.552	0.020698928
0.620449523	2677.515381	9.407956123	36552.05859	9397899.552	0.020772295
0.62046109	2584.473877	9.402665138	36552.05859	9397899.552	0.020782833
0.620472661	2534.448975	9.416926384	36552.05859	9397899.552	0.020694026
0.620484237	2886.932861	9.415048599	36552.05859	9397899.552	0.02088186
0.620495831	2585.357178	9.408130646	36552.05859	9397899.552	0.020743039
0.620507402	2664.459473	9.416132927	36611.26953	9397899.552	0.020699287
0.620518974	2641.920654	9.411839485	36611.26953	9397899.552	0.020820966
0.620530491	2439.333252	9.411723137	36611.26953	9397899.552	0.020661958
0.620542118	2735.10498	9.409515381	36611.26953	9397899.552	0.020730555
0.620553697	2585.608154	9.409359932	36611.26953	9397899.552	0.020772614
0.620565262	2450.911133	9.404268265	36682.21875	9397899.552	0.020634568
0.620576842	2622.894531	9.400708199	36682.21875	9397899.552	0.020711636
0.620588196	2548.201904	9.39887619	36682.21875	9397899.552	0.020727516
0.620599995	2785.076172	9.397550583	36682.21875	9397899.552	0.020692415
0.620611559	2607.782959	9.388549805	36682.21875	9397899.552	0.020766056
0.620623144	2433.933838	9.387723923	36747.67578	9397899.552	0.020606765
0.620634704	3194.236084	9.381112099	36747.67578	9397899.552	0.020771075
0.620646284	2894.029297	9.385316849	36747.67578	9397899.552	0.020848396
0.620657854	2910.860596	9.43298626	36747.67578	9397899.552	0.020695252
0.620669442	3230.222168	9.380216599	36747.67578	9397899.552	0.020891574
0.620680917	2621.652344	9.398862839	36812.67578	9397899.552	0.020634988
0.620692598	3319.565186	9.382875443	36812.67578	9397899.552	0.020735321
