Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.622277094	18427.38281	5.21295166	32787.05859	0.137767688
0.622288653	18781.66992	5.249061585	32787.05859	0.139564059
0.622300248	18780.06445	5.312812805	32787.05859	0.138890444
0.622311806	18710.07422	5.395970821	32787.05859	0.138974067
0.622323386	18694.9707	5.476577759	32748.75586	0.138936093
0.622334948	18668.29883	5.511504173	32748.75586	0.138832667
0.622346523	18623.96094	5.586101055	32748.75586	0.138577131
0.622358114	18534.76953	5.629132748	32748.75586	0.138328191
0.622369689	18564.5	5.653292656	32748.75586	0.13849276
0.622381262	18480.46094	5.726657867	32683.83594	0.138114125
0.622392824	18390.07617	5.766051292	32683.83594	0.137918128
0.622404401	18511.51953	5.816686153	32683.83594	0.138722576
0.622415983	18630.8125	5.877153397	32683.83594	0.139160572
0.622427541	18548.79883	5.910361767	32683.83594	0.138482576
0.622439113	18516.62305	5.973087788	32628.14258	0.138838176
0.622450704	18456.44727	6.026832581	32628.14258	0.138752759
0.622462265	18507.58203	6.083806515	32628.14258	0.138668262
0.622473833	18428.65039	6.143764496	32628.14258	0.138412247
0.622485429	18430.63867	6.17691803	32628.14258	0.138422514
0.622496994	18386.2168	6.232267857	32552.98047	0.138494549
0.622508563	18331.07813	6.281041145	32552.98047	0.138064525
0.622520159	18328.76172	6.28694582	32552.98047	0.138318405
0.622531712	18271.78906	6.307432652	32552.98047	0.138155887
0.622543312	18297.80273	6.370838165	32552.98047	0.13823171
0.622554854	18305.57617	6.420185566	32495.80469	0.138612159
0.622566443	18295.59766	6.481557846	32495.80469	0.138415409
0.622578022	18276.11914	6.52752018	32495.80469	0.138276459
0.622589592	18252.42969	6.547190666	32495.80469	0.138384312
0.622601174	18265.66797	6.576202393	32495.80469	0.138377817
0.622612751	18206.55469	6.617250919	32418.17578	0.138495633
0.622624305	18288.88672	6.664999485	32418.17578	0.139130669
0.622635876	18341	6.69099474	32418.17578	0.138927479
0.622647461	18262.69336	6.732133865	32418.17578	0.138665259
0.622659041	18207.67383	6.775798798	32418.17578	0.138445085
0.622670606	18173.55273	6.803013325	32312.15039	0.138709173
0.622682184	18136.89258	6.80880785	32312.15039	0.138487312
0.622693751	18121.92773	6.810689449	32312.15039	0.138686356
0.622705324	18161.33984	6.817700863	32312.15039	0.138870396
0.622716911	18124.53516	6.851118088	32312.15039	0.138708686
0.622728466	18119.15234	6.911336899	32194.72656	0.13925166
0.622740038	18157.78516	6.936942101	32194.72656	0.139432621
0.622751616	18141.61328	6.957743168	32194.72656	0.139346752
0.622763215	18122.68945	7.016475678	32194.72656	0.139231616
0.622774781	18248.99023	7.056933403	32194.72656	0.140196585
0.62278635	18536.33789	7.073356152	32047.26953	0.14256719
0.622797936	18983.52539	7.113069058	32047.26953	0.144831667
0.622809494	19526.81836	7.162859917	32047.26953	0.148180862
0.622821067	20241.87891	7.19196415	32047.26953	0.152551231
0.622832653	20775.8125	7.198998451	32047.26953	0.155583231
0.622844207	21190.87695	7.205435276	31922.96094	0.1590789
0.622855811	21434.32031	7.220619202	31922.96094	0.160963947
0.622867357	21593.42969	7.237235069	31922.96094	0.16154101
0.622878939	21771.55859	7.267415047	31922.96094	0.163508244
0.622890514	21891.59961	7.318802357	31922.96094	0.164044805
0.622902088	21986.44727	7.329106808	31729.83008	0.166255744
0.622913675	21976.49219	7.335965157	31729.83008	0.166148014
0.622925238	21989.14063	7.351594448	31729.83008	0.166460951
0.622936798	22028.12695	7.36437273	31729.83008	0.166697541
0.622948381	21983.63672	7.427383423	31729.83008	0.166129864
0.62295996	22006.29297	7.441608429	31600.39453	0.167452242
0.622971549	22022.52734	7.478233814	31600.39453	0.167945145
0.622983098	22082.50781	7.52637434	31600.39453	0.16812836
0.622994669	22047.70117	7.546746731	31600.39453	0.167981966
0.623006249	22039.77148	7.58480978	31600.39453	0.167831715
0.623017843	22011.19336	7.588594914	31431.94531	0.169203516
0.623029391	22001.04688	7.601677895	31431.94531	0.169013599
0.623040971	21961.03125	7.608194351	31431.94531	0.168810652
0.623052568	21975.32422	7.625710964	31431.94531	0.169149354
0.623064145	22052.18945	7.639141083	31431.94531	0.169124421
0.623075718	22023.9082	7.673151016	31241.20117	0.171079276
0.623087287	21953.34766	7.699995518	31241.20117	0.170318979
0.623098846	21928.0918	7.711359501	31241.20117	0.169888576
0.623110427	21973.8125	7.729611397	31241.20117	0.170219155
0.623121983	21895.85547	7.740820408	31241.20117	0.169926556
0.623133559	21915.12695	7.748351574	31116.54297	0.171104962
0.623145161	21941.45703	7.781691551	31116.54297	0.171500149
0.623156708	21879.42383	7.799457073	31116.54297	0.17074371
0.623168286	21781.89453	7.832519054	31116.54297	0.169874185
0.623179877	21784.87305	7.84488821	31116.54297	0.17046947
0.623191444	21750.92188	7.853415966	30951.99805	0.171203745
0.623203013	21712.27734	7.857089043	30951.99805	0.170822981
0.623214592	21679.94336	7.858188629	30951.99805	0.170945726
0.623226147	21628.15234	7.858557224	30951.99805	0.170463856
0.623237721	21711.10742	7.859391689	30951.99805	0.170698106
0.6232493	21617.49023	7.863482475	30818.49609	0.171376721
0.623260887	21592.22461	7.864755154	30818.49609	0.171277121
0.623272462	21546.36719	7.878012657	30818.49609	0.170828643
0.623284027	21567.73047	7.887718678	30818.49609	0.17094177
0.623295595	21497.69531	7.909362316	30818.49609	0.170503753
0.623307212	21482.05859	7.933506489	30669.4707	0.171905937
0.623318759	21560.68945	7.942914486	30669.4707	0.172500428
0.623330327	21530.15625	7.971181393	30669.4707	0.172152211
0.623341894	21485.73438	7.978480339	30669.4707	0.17165467
0.623353473	21454.77539	7.987521172	30669.4707	0.171265312
0.623365042	21431.95508	7.995798588	30528.21289	0.172525407
0.623376618	21372.05469	7.99893713	30528.21289	0.171932011
0.62338821	21373.38281	8.019095421	30528.21289	0.171971029
0.62339978	21368.59766	8.035655975	30528.21289	0.172310959
0.623411358	21377.63477	8.042432785	30528.21289	0.171792675
0.623422922	21351.8125	8.061704636	30376.2832	0.173223708
0.623434495	21368.30078	8.082434654	30376.2832	0.173514429
0.623446099	21295.80469	8.093902588	30376.2832	0.172985974
0.623457658	21088.61914	8.116092682	30376.2832	0.170371983
0.623469229	20585.66211	8.117810249	30376.2832	0.165480778
0.6234808	20309.62891	8.13386631	30271.00195	0.165315293
0.623492374	20122.94336	8.1515522	30271.00195	0.16368964
0.623503939	19898.18945	8.174559593	30271.00195	0.162157197
0.623515522	19844.17969	8.179798126	30271.00195	0.161552065
0.623527088	19782.64063	8.176178932	30271.00195	0.160994535
0.623538681	19600.66016	8.189898491	30124.39648	0.160893805
0.623550254	19432.25195	8.209009171	30124.39648	0.159331311
0.623561819	19201.04297	8.204741478	30124.39648	0.157986286
0.623573383	18883.31445	8.209754944	30124.39648	0.155863553
