Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.663874302	27624.69141	1.08796823	36331.30078	0.017273
0.6638859	27450.18945	1.113996148	36335.39063	0.016995145
0.663897455	27889.83398	1.137509108	36335.39063	0.01741299
0.663909038	27903.34375	1.161698341	36335.39063	0.017725538
0.663920605	28008.27344	1.182490706	36335.39063	0.017495834
0.663932168	27822.65234	1.207040548	36335.39063	0.017364536
0.663943756	27551.41797	1.253610373	36359.18359	0.017094846
0.66395535	27330.20117	1.281251311	36359.18359	0.016887904
0.663966902	27629.06445	1.305946231	36359.18359	0.01736172
0.663978467	27693.92969	1.32141614	36359.18359	0.017319165
0.663990044	28016.76953	1.348556399	36359.18359	0.017533282
0.664001615	27843.43164	1.395349026	36403.81641	0.017354019
0.664013199	27657.85938	1.423935294	36403.81641	0.017160829
0.664024765	27506.15625	1.435109139	36403.81641	0.016981612
0.664036338	27595.68555	1.438298106	36403.81641	0.017434725
0.664047911	27699.43164	1.443468213	36403.81641	0.017162225
0.664059499	28025.36133	1.453002691	36411.55859	0.017495149
0.664071088	28031.89063	1.470413804	36411.55859	0.017747727
0.664082646	28132.79102	1.500722766	36411.55859	0.017548428
0.664094235	27876.71484	1.534733772	36411.55859	0.017334392
0.664105795	27669.25195	1.557309985	36411.55859	0.017190868
0.66411736	27523.48242	1.566814899	36427.66797	0.017009688
0.664128943	27842.11914	1.57410419	36427.66797	0.017475139
0.664140508	27897.31445	1.58861351	36427.66797	0.017485406
0.664152085	28171.42383	1.633499503	36427.66797	0.01757865
0.664163665	28110.11523	1.660511851	36427.66797	0.017672764
0.664175226	28025.375	1.692403078	36463.45313	0.017457591
0.664186819	28033.93945	1.70547986	36463.45313	0.017419524
0.664198402	28086.10938	1.721681833	36463.45313	0.017774208
0.664209953	28077.05664	1.747237444	36463.45313	0.017461037
0.664221535	27918.81445	1.776893973	36463.45313	0.017335857
0.66423314	27692.01172	1.80592978	36458.52344	0.017139244
0.664244672	27459.5918	1.823245168	36458.52344	0.016891365
0.66425625	27908.08594	1.83877933	36458.52344	0.017373005
0.664267817	27902.69531	1.8637321	36458.52344	0.017536724
0.664279403	28094.05859	1.900645495	36458.52344	0.017475448
0.664290984	27914.81836	1.934328914	36519.89453	0.017263436
0.664302544	27693.23438	1.954211593	36519.89453	0.017086741
0.664314124	27512.81836	1.966349244	36519.89453	0.016890901
0.664325686	27782.49414	1.980580449	36519.89453	0.017349624
0.664337278	27836.84766	2.005784273	36519.89453	0.017239005
0.664348841	28149.75391	2.041246891	36522.88281	0.017472225
0.664360412	27986.12305	2.071766377	36522.88281	0.017381628
0.664371993	27780.20508	2.086850405	36522.88281	0.017154478
0.664383568	27611.01367	2.092921257	36522.88281	0.016986696
0.664395152	27732.58203	2.094963312	36522.88281	0.017471223
0.664406716	27799.82813	2.101181746	36565.34766	0.017113991
0.664418297	28092.26172	2.117067814	36565.34766	0.017413613
0.66442988	27959.48047	2.146862268	36565.34766	0.017467474
0.66444144	27926.44531	2.182520628	36565.34766	0.017192202
0.664453033	28003.12695	2.210768938	36565.34766	0.017347757
0.66446458	27878.99805	2.234188557	36562.78906	0.017269886
0.664476176	27825.78711	2.262003422	36562.78906	0.017167796
0.664487723	27862.01172	2.301192522	36562.78906	0.017256349
0.664499312	27816.78906	2.335007668	36562.78906	0.017202424
0.664510894	28042.04492	2.347770453	36562.78906	0.01732387
0.664522448	28291.92969	2.357659102	36599.44531	0.01790155
0.66453403	28258.00195	2.367604971	36599.44531	0.017512618
0.664545611	28034.79297	2.387667656	36599.44531	0.01731067
0.664557183	27802.66992	2.416786909	36599.44531	0.017169938
0.664568764	27625.44336	2.444242716	36599.44531	0.016906499
0.664580343	28258.69922	2.467356205	36644.52344	0.017497064
0.664591904	28285.04297	2.480736971	36644.52344	0.017756573
0.664603472	28403.27344	2.486171484	36644.52344	0.017621919
0.664615047	28238.33984	2.491247416	36644.52344	0.01745843
0.664626634	28000.11133	2.504859209	36644.52344	0.017211313
0.664638187	27755.59375	2.525943756	36664.89453	0.016992001
0.664649786	28121.05664	2.552597284	36664.89453	0.017500681
0.664661376	28215.38867	2.582192183	36664.89453	0.017525736
0.664672922	28448.28125	2.600730181	36664.89453	0.017604682
0.664684483	28271.50977	2.612678289	36664.89453	0.017520103
0.664696063	28065.47852	2.616828203	36664.26953	0.017280956
0.664707653	27945.19141	2.621754646	36664.26953	0.017147382
0.664719207	27828.95313	2.634382248	36664.26953	0.017079472
0.664730785	27623.85547	2.664598465	36664.26953	0.016869807
0.664742366	28120.40039	2.69336915	36664.26953	0.017272692
0.664753948	28164.47656	2.722048044	36701.99219	0.017628961
0.664765523	28226.09766	2.738533497	36701.99219	0.017381919
0.664777079	28609.44922	2.74932456	36701.99219	0.01782432
0.664788678	28390.625	2.75732398	36701.99219	0.017574942
0.664800224	28189.3418	2.773689508	36701.99219	0.017367699
0.664811822	28329.81445	2.798482657	36710.11328	0.017584567
0.664823385	28289.92188	2.824774981	36710.11328	0.017551799
0.664834971	28325.05469	2.851039171	36710.11328	0.017473982
0.664846527	28411.39258	2.869826555	36710.11328	0.017652138
0.664858096	28282.53711	2.884073257	36710.11328	0.017483507
0.664869698	28284.39258	2.900756598	36717.00391	0.017426341
0.664881258	28191.21094	2.924053669	36717.00391	0.017397289
0.664892835	28023.23242	2.951710463	36717.00391	0.017182636
