Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.637496986	25578.59375	-0.137575239	29444.14453	0.026325026
0.637508559	25584.11133	-0.139398739	29444.14453	0.026352232
0.637520135	25729.68555	-0.138999537	29444.14453	0.026859041
0.637531692	25708.79297	-0.138799369	29444.14453	0.0268339
0.637543271	25706.00195	-0.138088465	29499.2168	0.026558539
0.637554866	25728.46875	-0.138997197	29499.2168	0.026702633
0.637566414	25720.55469	-0.137877613	29499.2168	0.026617468
0.637578013	25712.29102	-0.139361545	29499.2168	0.026557145
0.637589575	25693.05469	-0.139411286	29499.2168	0.026456569
0.637601141	25677.83594	-0.138621405	29558.54102	0.026212726
0.637612723	25707.37891	-0.140048042	29558.54102	0.026341301
0.637624321	25692.45117	-0.139508396	29558.54102	0.026325759
0.637635871	25714.3125	-0.139244333	29558.54102	0.026387895
0.637647451	25667.22852	-0.139456272	29558.54102	0.026222935
0.637659004	25694.4707	-0.140485436	29660.91211	0.026017602
0.637670589	25723.69336	-0.139647111	29660.91211	0.026205023
0.637682152	25734.19727	-0.141188487	29660.91211	0.026070474
0.637693725	25742.77344	-0.139618248	29660.91211	0.026170234
0.637705325	25739.11133	-0.140603527	29660.91211	0.026056409
0.637716882	25767.14844	-0.140612721	29654.54688	0.026351414
0.637728455	25759.13477	-0.140868083	29654.54688	0.026212625
0.637740027	25788.54688	-0.139516249	29654.54688	0.026254667
0.637751609	25762.52344	-0.142123893	29654.54688	0.02633276
0.63776318	25782.60938	-0.139877215	29654.54688	0.026362114
0.637774749	25789.2793	-0.141198024	29628.99023	0.026400396
0.637786344	25769.43945	-0.140316278	29628.99023	0.026289488
0.63779791	25758.63867	-0.142462775	29628.99023	0.026358542
0.637809503	25770.87109	-0.140782297	29628.99023	0.026390471
0.637821053	25742.8418	-0.143823847	29628.99023	0.026163825
0.63783264	25748.0625	-0.145242676	29629.875	0.026249048
0.637844207	25756.70313	-0.139974043	29629.875	0.026324522
0.637855778	25756.27344	-0.142511979	29629.875	0.026247214
0.63786734	25783.37305	-0.140481606	29629.875	0.026360304
0.637878917	25744.93164	-0.141736314	29629.875	0.026223702
0.637890496	25763.50586	-0.142795727	29609.6875	0.026335736
0.637902084	25773.25391	-0.142418638	29609.6875	0.026332136
0.637913654	25772.125	-0.145189792	29609.6875	0.026327835
0.637925232	25776.63867	-0.146308035	29609.6875	0.026431388
0.637936801	25741.72852	-0.143161133	29609.6875	0.026295476
0.637948367	25776.19727	-0.138098329	29611.63086	0.026414424
0.637959944	25763.58789	-0.143818677	29611.63086	0.026376963
0.637971509	25757.07422	-0.143113658	29611.63086	0.026331274
0.637983088	25732.9375	-0.143993422	29611.63086	0.02626104
0.637994683	25759.35352	-0.143467292	29611.63086	0.026334473
0.638006238	25735.04102	-0.144276604	29572.19336	0.026380257
0.638017805	25719.23438	-0.145009816	29572.19336	0.026403462
0.638029391	25672.08594	-0.144228831	29572.19336	0.026267473
0.63804097	25674.20703	-0.143652812	29572.19336	0.026139781
0.638052544	25624.15039	-0.144333556	29572.19336	0.026101266
0.638064134	25646.71094	-0.145261154	29517.83203	0.02622906
0.63807567	25633.67188	-0.144748181	29517.83203	0.026261927
0.638087258	25623.91797	-0.143592164	29517.83203	0.026062233
0.638098822	25593.52539	-0.145810172	29517.83203	0.026167308
0.638110419	25580.70898	-0.145460904	29517.83203	0.026064605
0.638121984	25596.15625	-0.144952327	29433.38867	0.026384148
0.638133562	25545.26758	-0.145542935	29433.38867	0.026253746
0.638145121	25543.16406	-0.145348132	29433.38867	0.026271824
0.638156706	25533.42578	-0.145821661	29433.38867	0.026153017
0.638168266	25482.83398	-0.145475492	29433.38867	0.026107852
0.638179839	25497.42773	-0.145095065	29355.43359	0.026434869
0.638191412	25451.26758	-0.14796941	29355.43359	0.026205605
