Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air slope ()	air valve control ()
0.624257379	33438.01563	9.585578919	37498.94922	9397899.552	0.056706298
0.624268981	33528.02344	9.538892746	37487.39844	9397899.552	0.057285582
0.624280554	33566.69531	9.546244621	37487.39844	9397899.552	0.057332143
0.624292114	33574.47656	9.52125454	37487.39844	9397899.552	0.057310911
0.624303705	33569.28125	9.431820869	37487.39844	9397899.552	0.057374933
0.624315261	33617.51563	9.496026039	37487.39844	9397899.552	0.057508315
0.624326849	33611.24219	9.473526001	37525.53125	9397899.552	0.057227723
0.624338374	33639.11719	9.4868927	37525.53125	9397899.552	0.057706714
0.624349883	33660.71484	9.41869545	37525.53125	9397899.552	0.057667814
0.624361534	33709.49219	9.517695427	37525.53125	9397899.552	0.058296545
0.624373144	33712.00781	9.516830444	37525.53125	9397899.552	0.058318002
0.624384722	33751.37109	9.520807266	37599.91406	9397899.552	0.057803462
0.624396305	33814.14453	9.518795013	37599.91406	9397899.552	0.058315792
0.624407882	33843.76172	9.545409203	37599.91406	9397899.552	0.058675352
0.624419437	33878.40625	9.506067276	37599.91406	9397899.552	0.05895269
0.624431008	33879.13281	9.581235886	37599.91406	9397899.552	0.059114647
0.624442535	33895.3125	9.54907608	37596.0625	9397899.552	0.058984599
0.624454155	33884.59766	9.481854439	37596.0625	9397899.552	0.059153658
0.624465729	33919.48047	9.488862991	37596.0625	9397899.552	0.059196658
0.6244773	33893.58203	9.488525391	37596.0625	9397899.552	0.058967489
0.624488884	33944.11719	9.480699539	37596.0625	9397899.552	0.059567197
0.624500451	33934.21484	9.523733139	37642.33594	9397899.552	0.059085778
0.624512029	33939.62109	9.481110573	37642.33594	9397899.552	0.05909093
0.624523595	33962	9.427110672	37642.33594	9397899.552	0.059027532
0.624535158	33986.32031	9.321047783	37642.33594	9397899.552	0.05946888
0.624546767	34011.16016	9.371006966	37642.33594	9397899.552	0.059673359
0.624558244	33993.22656	9.387551308	37707.50781	9397899.552	0.058907929
0.624569916	33993.44141	9.358278275	37707.50781	9397899.552	0.058795994
0.624581471	33932.27344	9.46025753	37707.50781	9397899.552	0.058330407
0.624593038	33903.89063	9.34085083	37707.50781	9397899.552	0.058246468
0.624604626	33905.3125	9.4646101	37707.50781	9397899.552	0.058111258
0.624616202	33859.24609	9.36219883	37710.69531	9397899.552	0.058050251
0.624627758	33885.26953	9.379554749	37710.69531	9397899.552	0.057813685
0.624639351	33872.45313	9.390865326	37710.69531	9397899.552	0.057909454
0.62465084	33876.01172	9.413759232	37710.69531	9397899.552	0.057991918
0.624662491	33890.47266	9.351656914	37710.69531	9397899.552	0.057988857
0.624674061	33890.48438	9.511452675	37615.78125	9397899.552	0.058687145
0.624685638	33872.10547	10.21216965	37615.78125	9397899.552	0.05881071
0.624697112	33893.76172	9.936449051	37615.78125	9397899.552	0.058797943
0.624708782	33867.80078	9.903728485	37615.78125	9397899.552	0.058930911
0.624720359	33898.01172	9.865983963	37615.78125	9397899.552	0.058822419
0.624731948	33857.82813	9.828601837	37623.19141	9397899.552	0.058470586
0.624743521	33864.53125	9.806467056	37623.19141	9397899.552	0.05865492
0.624755079	33851.94141	9.789133072	37623.19141	9397899.552	0.058341851
0.624766615	33878.27344	9.764713287	37623.19141	9397899.552	0.058635385
